Parametry
Precyzja: 10^-3
Tau: 1
Pokolenia: 100
;vbest;vbin;f(vbest)
56;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
57;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
58;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
59;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
60;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
61;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
62;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
63;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
64;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
65;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
66;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
67;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
68;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
69;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
70;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
71;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
72;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
73;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
74;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
75;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
76;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
77;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
78;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
79;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
80;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
81;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
82;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
83;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
84;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
85;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
86;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
87;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
88;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
89;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
90;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
91;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
92;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
93;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
94;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
95;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
96;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
97;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
98;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
99;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
100;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
